time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020031710.59.46.84,	1,	1,	1,	1,	1,	1,	1
2020031710.59.47.84,	1,	1,	1,	1,	1,	1,	1
2020031710.59.48.84,	1,	1,	1,	1,	1,	1,	1
2020031710.59.49.84,	1,	1,	1,	1,	1,	1,	1
2020031710.59.50.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.51.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.52.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.53.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.54.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.55.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.56.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.57.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.58.85,	1,	1,	1,	1,	1,	1,	1
2020031710.59.59.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.00.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.01.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.02.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.03.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.04.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.05.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.06.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.07.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.08.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.09.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.10.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.11.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.12.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.13.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.14.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.15.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.16.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.17.85,	1,	1,	1,	1,	1,	1,	1
2020031711.00.18.86,	1,	1,	1,	1,	1,	1,	1
2020031711.00.19.86,	1,	1,	1,	1,	1,	1,	1
2020031711.00.20.86,	1,	1,	1,	1,	1,	1,	1
2020031711.00.21.86,	1,	1,	1,	1,	1,	1,	1
2020031711.00.22.86,	1,	1,	1,	1,	1,	1,	1
2020031711.00.23.86,	1,	1,	1,	1,	1,	1,	1
