time,"	Load0","	Load1","	Load2","	Load3","	Load4","	Load5","	Load6"
2020033011.24.06.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.16.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.21.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.26.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.31.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.41.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.46.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.51.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.24.56.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.01.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.06.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.16.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.21.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.26.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.31.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.36.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.41.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.46.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.51.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.25.56.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.01.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.06.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.11.13,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.16.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.21.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.26.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.31.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.36.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.41.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.46.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.51.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.26.56.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.01.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.06.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.11.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.16.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.21.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.26.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.31.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.36.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.41.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.46.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.51.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.27.56.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.01.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.06.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.11.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.16.14,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.21.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.26.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.31.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.36.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.41.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.46.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.51.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.28.56.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.01.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.06.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.11.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.16.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.21.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.26.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.31.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.36.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.41.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.46.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.51.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.29.56.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.01.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.06.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.11.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.16.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.21.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.26.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.31.15,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.36.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.41.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.46.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.51.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.30.56.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.01.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.06.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.11.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.16.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.21.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.26.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.31.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.36.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.41.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.46.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.51.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.31.56.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.01.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.06.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.11.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.16.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.21.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.26.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.31.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.36.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.41.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.46.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.51.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.32.56.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.01.16,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.06.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.11.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.16.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.21.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.26.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.31.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.36.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.41.17,"	1","	1","	1","	1","	1","	1","	1"
2020033011.33.46.17,"	1","	1","	1","	1","	1","	1","	1"
